Max. Voltage Dischar. (V),Min. Voltage Charg. (V),Time at 4.15V (s),ID,Cycle_Index
22.410868,-5.0818124,-1.0872314e+06,synthetic_0,1
49.252144,-2.3350174,-1.5866932e+06,synthetic_0,2
-4.5242105,39.918827,-1.1341138e+06,synthetic_0,3
-2.2837605,-33.53361,-157568.98,synthetic_0,4
1.080188,-27.422241,2.2915475e+06,synthetic_0,5
-2.9936333,-42.601196,1.5054925e+06,synthetic_0,6
-4.600613,10.882323,-667778.0,synthetic_0,7
-0.15449758,14.3885975,984496.4,synthetic_0,8
14.088363,-5.8436856,1.5566219e+06,synthetic_0,9
-2.8143096,12.8348465,1.664553e+06,synthetic_0,10
14.655167,-48.360065,-793230.7,synthetic_0,11
5.6382313,-12.901199,2.1568155e+06,synthetic_0,12
10.965759,-14.2783985,628260.4,synthetic_0,13
-10.898191,-1.739107,-266113.7,synthetic_0,14
-5.5837855,28.128489,1.00132306e+06,synthetic_0,15
26.774223,-31.227474,-818370.25,synthetic_0,16
32.703815,7.6976633,-2.1464388e+06,synthetic_0,17
-5.3896546,12.733424,480483.06,synthetic_0,18
-5.176892,-21.109917,2.8832692e+06,synthetic_0,19
4.24409,-22.714108,-250253.55,synthetic_0,20
-1.7105498,-15.2539425,-1.2467729e+06,synthetic_0,21
22.805649,4.5856867,-1.242098e+06,synthetic_0,22
-10.5156145,-22.829777,1.2721572e+06,synthetic_0,23
-15.679446,36.776306,1.9621618e+06,synthetic_0,24
9.090817,-38.19238,-3.1159568e+06,synthetic_0,25
-4.966044,0.5126142,2.0607865e+06,synthetic_0,26
10.619539,-12.994503,2.5220652e+06,synthetic_0,27
21.503092,6.549817,-655431.9,synthetic_0,28
7.3834805,2.3086898,-2.2262715e+06,synthetic_0,29
-15.930873,58.049942,-719372.6,synthetic_0,30
-15.158942,-32.350487,2.387572e+06,synthetic_0,31
13.935588,-1.9411577,1.3593338e+06,synthetic_0,32
-1.0715852,-16.03895,3.4169688e+06,synthetic_0,33
15.90415,5.2116632,-1.497242e+06,synthetic_0,34
10.045392,30.556587,1.9036161e+06,synthetic_0,35
12.235516,-49.018955,-53527.16,synthetic_0,36
3.5876293,18.604692,-2.3650112e+06,synthetic_0,37
-20.451546,35.71315,1.4213148e+06,synthetic_0,38
-1.5111265,7.2501473,897136.25,synthetic_0,39
-1.7463422,-27.170788,1.2765316e+06,synthetic_0,40
13.237586,47.01201,-224739.45,synthetic_0,41
-11.855461,-3.0834754,1.1509305e+06,synthetic_0,42
-1.0480361,29.452478,150068.62,synthetic_0,43
9.181389,23.914259,-280251.47,synthetic_0,44
15.8894415,19.076618,-1.6353922e+06,synthetic_0,45
-0.66883177,38.59557,-2.5061875e+06,synthetic_0,46
-17.280066,7.6804605,-252406.23,synthetic_0,47
20.513813,-37.229458,-668220.25,synthetic_0,48
-8.128164,-9.155629,1.7538624e+06,synthetic_0,49
19.444916,-24.59271,153053.75,synthetic_0,50
5.587971,-30.070095,1.3382994e+06,synthetic_0,51
1.9484038,-43.595802,832042.4,synthetic_0,52
-5.7558303,-3.872544,3.2083665e+06,synthetic_0,53
3.7078779,-6.008614,-1.6949494e+06,synthetic_0,54
-7.6130967,19.138659,-452888.88,synthetic_0,55
-16.121464,-36.705242,2.6532655e+06,synthetic_0,56
12.06998,-26.408665,-2.1530808e+06,synthetic_0,57
-4.6868577,-12.205721,1.4141276e+06,synthetic_0,58
-0.384891,31.752785,-892447.8,synthetic_0,59
-18.164722,-13.547121,1.0774911e+06,synthetic_0,60
8.518035,12.596516,2.4339595e+06,synthetic_0,61
0.41289523,2.2540529,-5831.0903,synthetic_0,62
20.314781,-25.341442,1.6501921e+06,synthetic_0,63
6.9269314,21.26224,442129.4,synthetic_0,64
27.828653,0.5223803,-2.6467848e+06,synthetic_0,65
-19.850624,18.631157,777818.6,synthetic_0,66
8.624145,19.505062,-2.6559522e+06,synthetic_0,67
7.9000278,35.717007,1.0177108e+06,synthetic_0,68
-2.1324987,-3.733167,369016.4,synthetic_0,69
-3.8465996,-5.421971,-2.1962842e+06,synthetic_0,70
-4.2056794,-12.824375,-506530.84,synthetic_0,71
2.5092955,-27.974882,1.9164108e+06,synthetic_0,72
2.4040132,41.491615,272136.5,synthetic_0,73
-2.642933,10.111008,1.9385374e+06,synthetic_0,74
-7.1827893,34.50243,-1.9588579e+06,synthetic_0,75
-2.8958273,1.3090597,-3.6746662e+06,synthetic_0,76
-4.0432696,19.946568,2.7565965e+06,synthetic_0,77
2.5132334,-0.8516949,823681.94,synthetic_0,78
5.2975774,28.541397,1.6499228e+06,synthetic_0,79
3.9257486,-19.343338,2.0882229e+06,synthetic_0,80
2.4064424,2.6281426,275515.6,synthetic_0,81
7.040312,-8.419587,-394081.7,synthetic_0,82
-9.718673,7.3401833,-1.0482031e+06,synthetic_0,83
-4.5616727,-16.716913,2.2230198e+06,synthetic_0,84
1.4059615,-33.671024,1.3260691e+06,synthetic_0,85
33.08106,-16.498024,-2.759746e+06,synthetic_0,86
-5.234609,11.339785,1.1679228e+06,synthetic_0,87
28.942183,3.3178954,-569732.3,synthetic_0,88
4.7995176,-7.403459,603534.8,synthetic_0,89
19.456335,-5.846516,999314.8,synthetic_0,90
-2.8712025,-17.08897,725415.2,synthetic_0,91
2.8015041,-13.782654,-2.2764685e+06,synthetic_0,92
-1.5076561,32.587234,-1.9465106e+06,synthetic_0,93
-11.160763,-4.9796796,1.2512139e+06,synthetic_0,94
18.302805,9.099527,1.6342135e+06,synthetic_0,95
0.26376274,-17.372126,2.4200555e+06,synthetic_0,96
-2.3290586,18.683846,-1.152355e+06,synthetic_0,97
-22.612755,41.785366,602387.3,synthetic_0,98
33.228657,-23.964962,-348281.03,synthetic_0,99
1.0253994,-7.725908,226962.84,synthetic_0,100
0.92306095,5.4645376,-2.1955335e+06,synthetic_0,101
-10.623206,30.83757,1.4957526e+06,synthetic_0,102
10.33539,0.9206616,-2.7191322e+06,synthetic_0,103
7.5860963,-13.924246,1.5949528e+06,synthetic_0,104
-21.373781,-6.4669833,4.1987145e+06,synthetic_0,105
-2.2739477,-51.6751,863512.4,synthetic_0,106
-14.119992,14.830037,-917723.56,synthetic_0,107
-1.7496061,22.681995,-641873.75,synthetic_0,108
-7.6137605,-19.907606,1.0006686e+06,synthetic_0,109
15.178196,-16.869629,-486262.03,synthetic_0,110
10.207448,1.5688158,627405.44,synthetic_0,111
7.348815,-17.838877,-1.4814265e+06,synthetic_0,112
9.388097,-2.2806742,3.195167e+06,synthetic_0,113
15.535334,18.124985,1.2357859e+06,synthetic_0,114
14.95484,-9.315616,1.1256115e+06,synthetic_0,115
-2.2825866,2.4197652,270686.94,synthetic_0,116
-0.59771866,-6.8444057,1.182456e+06,synthetic_0,117
-9.862181,-3.6081293,1.3937875e+06,synthetic_0,118
3.8060703,13.296667,1.2179376e+06,synthetic_0,119
9.31502,-34.110607,985252.4,synthetic_0,120
11.445068,5.798192,3.4082455e+06,synthetic_0,121
14.806635,48.97314,680914.9,synthetic_0,122
-9.050832,0.055511873,2.0750616e+06,synthetic_0,123
30.707792,-1.9710516,-3.014109e+06,synthetic_0,124
1.7932453,9.951746,-3.033006e+06,synthetic_0,125
1.6448858,6.0240064,1.3426771e+06,synthetic_0,126
-2.0471826,-6.1938806,-1.3991608e+06,synthetic_0,127
-5.9064174,12.857805,342160.5,synthetic_0,128
-4.6876607,11.580081,-589457.7,synthetic_0,129
9.170902,1.326399,439792.88,synthetic_0,130
15.222694,24.26649,2.4680102e+06,synthetic_0,131
9.777874,-52.51003,733821.6,synthetic_0,132
19.67996,-18.752,1.2558379e+06,synthetic_0,133
10.412303,-10.290057,1.6510976e+06,synthetic_0,134
-6.4463534,9.969668,1.2700949e+06,synthetic_0,135
-0.22882648,-20.546381,2.641641e+06,synthetic_0,136
-3.404564,7.0425987,1.3066512e+06,synthetic_0,137
2.8128054,34.400967,2.4657662e+06,synthetic_0,138
7.9135942,-9.045879,-3.364598e+06,synthetic_0,139
-9.578937,15.054053,1.5033148e+06,synthetic_0,140
10.149786,-8.367405,-1.01974556e+06,synthetic_0,141
14.431241,-16.774776,419004.38,synthetic_0,142
0.1914609,26.953852,-316041.3,synthetic_0,143
